SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School at Northwestern,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Black or African American,<3,<3,*,*,N/A,N/A,N/A,<3,*,76,<=5%,<=5%,*,*,N/A,N/A,N/A,<=5%,>=95%,2071.40,13.10,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School at Northwestern,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Male,<3,<3,*,*,N/A,N/A,N/A,<3,*,43,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2071.00,14.90,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3015,Pershing High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not English Learners,<3,<3,*,*,N/A,N/A,N/A,<3,*,50,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2072.80,13.00,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3015,Pershing High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students With Disabilities,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3015,Pershing High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students Without Disabilities,<3,<3,*,*,N/A,N/A,N/A,<3,*,44,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2073.90,13.00,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3015,Pershing High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,All Students,<3,<3,*,*,N/A,N/A,N/A,<3,*,52,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2072.40,12.90,N/A,*,*,*,*,*
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3015,Pershing High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Economically Disadvantaged,<3,<3,*,*,N/A,N/A,N/A,<3,*,48,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2072.70,13.10,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3015,Pershing High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not Economically Disadvantaged,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3015,Pershing High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Black or African American,<3,<3,*,*,N/A,N/A,N/A,<3,*,46,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2072.40,11.80,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3015,Pershing High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Hispanic of Any Race,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3015,Pershing High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,White,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3015,Pershing High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Asian,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3015,Pershing High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Male,<3,<3,*,*,N/A,N/A,N/A,<3,*,27,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2071.00,13.10,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3015,Pershing High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Female,<3,<3,*,*,N/A,N/A,N/A,<3,*,25,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2073.90,12.60,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3015,Pershing High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,English Learners,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3276,Academy of The Americas High School,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Students Without Disabilities,<3,<3,*,*,N/A,N/A,N/A,<3,*,24,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2070.80,13.60,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3276,Academy of The Americas High School,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,All Students,<3,<3,*,*,N/A,N/A,N/A,<3,*,34,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2068.50,12.40,N/A,*,*,*,*,*
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3276,Academy of The Americas High School,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Economically Disadvantaged,<3,<3,*,*,N/A,N/A,N/A,<3,*,20,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2069.50,14.50,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3276,Academy of The Americas High School,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Not Economically Disadvantaged,<3,<3,*,*,N/A,N/A,N/A,<3,*,14,<=50%,<=50%,<=50%,>=50%,N/A,N/A,N/A,<=50%,>=50%,2067.10,8.30,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3276,Academy of The Americas High School,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Black or African American,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3276,Academy of The Americas High School,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Hispanic of Any Race,<3,<3,*,*,N/A,N/A,N/A,<3,*,33,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2068.70,12.50,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3276,Academy of The Americas High School,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Male,<3,<3,*,*,N/A,N/A,N/A,<3,*,13,<=50%,<=50%,<=50%,>=50%,N/A,N/A,N/A,<=50%,>=50%,2068.90,12.20,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3276,Academy of The Americas High School,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Female,<3,<3,*,*,N/A,N/A,N/A,<3,*,21,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2068.20,12.50,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3276,Academy of The Americas High School,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,English Learners,<3,<3,*,*,N/A,N/A,N/A,<3,*,32,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2068.50,12.60,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3276,Academy of The Americas High School,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Not English Learners,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3276,Academy of The Americas High School,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Students With Disabilities,<3,<3,<3,*,N/A,N/A,N/A,<3,*,10,<=50%,<=50%,<=50%,>=50%,N/A,N/A,N/A,<=50%,>=50%,2063.10,6.20,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3444,SER Metro YouthBuild Learning Academy,82,Wayne,LEA School,High School,City: Small,Wayne Region,3,11,Social Studies,Students Without Disabilities,<3,<3,*,<3,N/A,N/A,N/A,<3,*,10,<=50%,<=50%,>=50%,<=50%,N/A,N/A,N/A,<=50%,>=50%,2082.50,17.90,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3444,SER Metro YouthBuild Learning Academy,82,Wayne,LEA School,High School,City: Small,Wayne Region,3,11,Social Studies,All Students,<3,<3,*,<3,N/A,N/A,N/A,<3,*,10,<=50%,<=50%,>=50%,<=50%,N/A,N/A,N/A,<=50%,>=50%,2082.50,17.90,N/A,*,*,*,*,*
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3444,SER Metro YouthBuild Learning Academy,82,Wayne,LEA School,High School,City: Small,Wayne Region,3,11,Social Studies,Economically Disadvantaged,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3444,SER Metro YouthBuild Learning Academy,82,Wayne,LEA School,High School,City: Small,Wayne Region,3,11,Social Studies,Not Economically Disadvantaged,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3444,SER Metro YouthBuild Learning Academy,82,Wayne,LEA School,High School,City: Small,Wayne Region,3,11,Social Studies,Black or African American,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3444,SER Metro YouthBuild Learning Academy,82,Wayne,LEA School,High School,City: Small,Wayne Region,3,11,Social Studies,Hispanic of Any Race,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3444,SER Metro YouthBuild Learning Academy,82,Wayne,LEA School,High School,City: Small,Wayne Region,3,11,Social Studies,Male,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3444,SER Metro YouthBuild Learning Academy,82,Wayne,LEA School,High School,City: Small,Wayne Region,3,11,Social Studies,Female,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3444,SER Metro YouthBuild Learning Academy,82,Wayne,LEA School,High School,City: Small,Wayne Region,3,11,Social Studies,English Learners,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3444,SER Metro YouthBuild Learning Academy,82,Wayne,LEA School,High School,City: Small,Wayne Region,3,11,Social Studies,Not English Learners,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3540,Southeastern High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students With Disabilities,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3540,Southeastern High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students Without Disabilities,<3,3,20,8,N/A,N/A,N/A,4,28,32,<=10%,<=10%,62.5,25.0,N/A,N/A,N/A,12.5,87.5,2079.80,16.70,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3540,Southeastern High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,All Students,<3,3,22,8,N/A,N/A,N/A,4,30,34,<=10%,<=10%,64.7,23.5,N/A,N/A,N/A,11.8,88.2,2079.50,16.20,N/A,*,*,*,*,*
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3540,Southeastern High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Economically Disadvantaged,<3,3,21,8,N/A,N/A,N/A,4,29,33,<=10%,<=10%,63.6,24.2,N/A,N/A,N/A,12.1,87.9,2079.80,16.40,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3540,Southeastern High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not Economically Disadvantaged,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3540,Southeastern High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Black or African American,<3,3,22,8,N/A,N/A,N/A,4,30,34,<=10%,<=10%,64.7,23.5,N/A,N/A,N/A,11.8,88.2,2079.50,16.20,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3540,Southeastern High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Male,<3,<3,*,*,N/A,N/A,N/A,<3,*,16,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2073.80,12.50,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3540,Southeastern High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Female,<3,<3,12,3,N/A,N/A,N/A,3,15,18,<=20%,<=20%,*,<=20%,N/A,N/A,N/A,<=20%,>=80%,2084.60,17.40,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,3540,Southeastern High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not English Learners,<3,3,22,8,N/A,N/A,N/A,4,30,34,<=10%,<=10%,64.7,23.5,N/A,N/A,N/A,11.8,88.2,2079.50,16.20,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students Without Disabilities,<3,*,195,159,N/A,N/A,N/A,37,354,391,<=1%,*,49.9,40.7,N/A,N/A,N/A,9.5,90.5,2075.90,17.30,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,All Students,<3,*,206,189,N/A,N/A,N/A,37,395,432,<=1%,*,47.7,43.8,N/A,N/A,N/A,8.6,91.4,2074.80,17.10,N/A,*,*,*,*,*
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Economically Disadvantaged,<3,*,180,152,N/A,N/A,N/A,28,332,360,<=1%,*,50.0,42.2,N/A,N/A,N/A,7.8,92.2,2074.70,16.60,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not Economically Disadvantaged,<3,*,26,37,N/A,N/A,N/A,9,63,72,<=5%,*,36.1,51.4,N/A,N/A,N/A,12.5,87.5,2075.30,19.20,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,American Indian or Alaska Native,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Black or African American,<3,<3,27,44,N/A,N/A,N/A,3,71,74,<=5%,<=5%,*,*,N/A,N/A,N/A,<=5%,>=95%,2070.10,16.70,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Hispanic of Any Race,<3,*,166,132,N/A,N/A,N/A,29,298,327,<=1%,*,50.8,40.4,N/A,N/A,N/A,8.9,91.1,2075.80,16.90,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,White,<3,*,12,13,N/A,N/A,N/A,5,25,30,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2075.40,18.50,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Male,<3,*,103,112,N/A,N/A,N/A,19,215,234,<=5%,*,44.0,47.9,N/A,N/A,N/A,8.1,91.9,2073.30,17.20,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Female,<3,*,103,77,N/A,N/A,N/A,18,180,198,<=5%,*,52.0,38.9,N/A,N/A,N/A,9.1,90.9,2076.50,16.80,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,English Learners,<3,*,139,138,N/A,N/A,N/A,18,277,295,<=5%,*,47.1,46.8,N/A,N/A,N/A,6.1,93.9,2072.80,15.10,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not English Learners,<3,*,67,51,N/A,N/A,N/A,19,118,137,<=5%,*,48.9,37.2,N/A,N/A,N/A,13.9,86.1,2079.20,20.00,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students With Disabilities,<3,<3,*,*,N/A,N/A,N/A,<3,*,41,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2064.00,10.30,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,6971,Renaissance High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students With Disabilities,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,6971,Renaissance High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students Without Disabilities,12,121,104,10,N/A,N/A,N/A,133,114,247,<=5%,*,*,<=5%,N/A,N/A,N/A,53.8,46.2,2100.10,17.40,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,6971,Renaissance High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,All Students,12,122,106,10,N/A,N/A,N/A,134,116,250,<=5%,*,*,<=5%,N/A,N/A,N/A,53.6,46.4,2100.00,17.40,N/A,2054,2142,2087.00,2100.00,2111.00
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,6971,Renaissance High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Economically Disadvantaged,7,77,69,7,N/A,N/A,N/A,84,76,160,<=5%,*,*,<=5%,N/A,N/A,N/A,52.5,47.5,2099.40,17.10,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,6971,Renaissance High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not Economically Disadvantaged,5,45,37,3,N/A,N/A,N/A,50,40,90,5.6,50.0,*,<=5%,N/A,N/A,N/A,55.6,44.4,2101.00,17.70,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,6971,Renaissance High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Black or African American,12,122,106,10,N/A,N/A,N/A,134,116,250,<=5%,*,*,<=5%,N/A,N/A,N/A,53.6,46.4,2100.00,17.40,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,6971,Renaissance High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Male,7,46,*,<3,N/A,N/A,N/A,53,32,85,8.2,54.1,*,<=5%,N/A,N/A,N/A,62.4,37.6,2103.90,18.60,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,6971,Renaissance High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Female,5,76,76,8,N/A,N/A,N/A,81,84,165,<=5%,*,*,<=5%,N/A,N/A,N/A,49.1,50.9,2097.90,16.30,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,6971,Renaissance High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not English Learners,12,122,106,10,N/A,N/A,N/A,134,116,250,<=5%,*,*,<=5%,N/A,N/A,N/A,53.6,46.4,2100.00,17.40,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,7135,Frederick Douglass Academy for Young Men,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students With Disabilities,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,7135,Frederick Douglass Academy for Young Men,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students Without Disabilities,<3,<3,*,*,N/A,N/A,N/A,<3,*,19,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2077.20,11.50,N/A,N/A,N/A,N/A,N/A,N/A
