"SchoolYear","IsdCode","IsdName","DistrictCode","DistrictName","BuildingName","BuildingCode","EntityType","Grade","Subject","TestingGroup","NumberAboveAverageGrowth","NumberAverageGrowth","NumberBelowAverageGrowth","PercentAboveAverage","PercentAverageGrowth","PercentBelowAverage","TotalIncluded","MeanSGP"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","05","English Language Arts","Not Economically Disadvantaged","< 10","< 10","< 10","18.80","50.00","31.30","16","40.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","05","English Language Arts","Black, not of Hispanic origin","< 10","< 10","< 10","30.00","40.00","30.00","10","48.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","05","English Language Arts","Hispanic","27","38","26","29.70","41.80","28.60","91","49.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","06","Mathematics","All Students","30","52","36","25.40","44.10","30.50","118","50.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","06","Mathematics","Economically Disadvantaged","25","41","32","25.50","41.80","32.70","98","49.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","06","Mathematics","Not Economically Disadvantaged","< 10","11","< 10","25.00","55.00","20.00","20","53.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","06","Mathematics","Black, not of Hispanic origin","< 10","< 10","< 10","30.80","23.10","46.20","13","49.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","06","Mathematics","Hispanic","24","44","26","25.50","46.80","27.70","94","50.60"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","06","Mathematics","White, not of Hispanic origin","< 10","< 10","< 10","10.00","50.00","40.00","10","41.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","06","Mathematics","Two or More Races","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","06","Mathematics","Male","15","23","14","28.80","44.20","26.90","52","51.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","06","Mathematics","Female","15","29","22","22.70","43.90","33.30","66","48.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","06","Mathematics","English Learners","19","36","22","24.70","46.80","28.60","77","50.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","06","Mathematics","Not English Learners","11","16","14","26.80","39.00","34.10","41","48.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","06","Mathematics","Not Migrant","30","52","36","25.40","44.10","30.50","118","50.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","05","Mathematics","All Students","15","53","40","13.90","49.10","37.00","108","40.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","05","Mathematics","Economically Disadvantaged","11","47","34","12.00","51.10","37.00","92","40.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","05","Mathematics","Not Economically Disadvantaged","< 10","< 10","< 10","25.00","37.50","37.50","16","44.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","05","Mathematics","Black, not of Hispanic origin","< 10","< 10","< 10","10.00","40.00","50.00","10","36.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","05","Mathematics","Hispanic","12","46","33","13.20","50.50","36.30","91","40.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","05","Mathematics","White, not of Hispanic origin","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","05","Mathematics","Male","10","25","23","17.20","43.10","39.70","58","38.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","05","Mathematics","Female","< 10","28","17","10.00","56.00","34.00","50","43.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","05","Mathematics","English Learners","11","40","27","14.10","51.30","34.60","78","41.60"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","05","Mathematics","Not English Learners","< 10","13","13","13.30","43.30","43.30","30","38.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","05","Mathematics","Not Migrant","15","53","40","13.90","49.10","37.00","108","40.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","04","Mathematics","All Students","10","38","48","10.40","39.60","50.00","96","34.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","04","Mathematics","Economically Disadvantaged","< 10","30","41","10.10","38.00","51.90","79","34.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","04","Mathematics","Not Economically Disadvantaged","< 10","< 10","< 10","11.80","47.10","41.20","17","38.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","04","Mathematics","Black, not of Hispanic origin","< 10","10","10","< 5","47.60","47.60","21","30.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","04","Mathematics","Hispanic","< 10","25","35","13.00","36.20","50.70","69","37.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","04","Mathematics","White, not of Hispanic origin","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","04","Mathematics","Male","< 10","22","24","9.80","43.10","47.10","51","36.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","04","Mathematics","Female","< 10","16","24","11.10","35.60","53.30","45","32.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","04","Mathematics","English Learners","< 10","24","34","10.80","36.90","52.30","65","35.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","04","Mathematics","Not English Learners","< 10","14","14","9.70","45.20","45.20","31","33.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","04","Mathematics","Not Migrant","10","38","48","10.40","39.60","50.00","96","34.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","07","Mathematics","All Students","20","38","34","21.70","41.30","37.00","92","45.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","07","Mathematics","Economically Disadvantaged","15","33","25","20.50","45.20","34.20","73","46.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","07","Mathematics","Not Economically Disadvantaged","< 10","< 10","< 10","26.30","26.30","47.40","19","43.60"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","07","Mathematics","Black, not of Hispanic origin","< 10","< 10","< 10","25.00","50.00","25.00","12","52.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","07","Mathematics","Hispanic","16","29","27","22.20","40.30","37.50","72","46.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","07","Mathematics","White, not of Hispanic origin","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","07","Mathematics","Male","13","21","18","25.00","40.40","34.60","52","45.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","07","Mathematics","Female","< 10","17","16","17.50","42.50","40.00","40","46.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","07","Mathematics","English Learners","14","25","26","21.50","38.50","40.00","65","43.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","07","Mathematics","Not English Learners","< 10","13","< 10","22.20","48.10","29.60","27","51.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","07","Mathematics","Not Migrant","20","38","34","21.70","41.30","37.00","92","45.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","08","Mathematics","All Students","13","42","35","14.40","46.70","38.90","90","41.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","08","Mathematics","Economically Disadvantaged","11","34","26","15.50","47.90","36.60","71","41.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","08","Mathematics","Not Economically Disadvantaged","< 10","< 10","< 10","10.50","42.10","47.40","19","38.60"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","08","Mathematics","Black, not of Hispanic origin","< 10","< 10","< 10","10.00","50.00","40.00","10","41.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","08","Mathematics","Hispanic","12","35","25","16.70","48.60","34.70","72","43.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","08","Mathematics","White, not of Hispanic origin","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","08","Mathematics","Two or More Races","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","08","Mathematics","Male","< 10","22","20","8.70","47.80","43.50","46","36.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","08","Mathematics","Female","< 10","20","15","20.50","45.50","34.10","44","46.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","08","Mathematics","English Learners","< 10","24","23","13.00","44.40","42.60","54","39.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","08","Mathematics","Not English Learners","< 10","18","12","16.70","50.00","33.30","36","43.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","08","Mathematics","Not Migrant","13","42","35","14.40","46.70","38.90","90","41.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Social Studies","All Students","< 10","20","51","< 5","27.40","69.90","73","19.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Social Studies","Economically Disadvantaged","< 10","16","42","< 5","26.70","70.00","60","19.60"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Social Studies","Not Economically Disadvantaged","< 10","< 10","< 10","< 5","30.80","69.20","13","21.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Social Studies","Black, not of Hispanic origin","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Social Studies","Hispanic","< 10","15","42","< 5","25.40","71.20","59","19.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Social Studies","White, not of Hispanic origin","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Social Studies","Two or More Races","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Social Studies","Male","< 10","< 10","28","< 5","23.70","73.70","38","18.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Social Studies","Female","< 10","11","23","< 5","31.40","65.70","35","21.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Social Studies","English Learners","< 10","11","27","5.00","27.50","67.50","40","19.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Social Studies","Not English Learners","< 10","< 10","24","< 5","27.30","72.70","33","20.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Social Studies","Not Migrant","< 10","20","51","< 5","27.40","69.90","73","19.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Mathematics","Female","41","110","94","16.70","44.90","38.40","245","43.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Mathematics","English Learners","58","149","132","17.10","44.00","38.90","339","42.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Mathematics","Not English Learners","30","74","61","18.20","44.80","37.00","165","43.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Mathematics","Not Migrant","88","223","193","17.50","44.20","38.30","504","42.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Mathematics","All Students","88","223","193","17.50","44.20","38.30","504","42.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Mathematics","Economically Disadvantaged","70","185","158","16.90","44.80","38.30","413","42.60"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Mathematics","Not Economically Disadvantaged","18","38","35","19.80","41.80","38.50","91","43.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Mathematics","Black, not of Hispanic origin","10","28","28","15.20","42.40","42.40","66","40.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Mathematics","Hispanic","73","179","146","18.30","45.00","36.70","398","43.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Mathematics","White, not of Hispanic origin","< 10","15","19","10.50","39.50","50.00","38","33.60"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Mathematics","Two or More Races","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Munger Elementary-Middle School",858,"LEA School","All Grades","Mathematics","Male","47","113","99","18.10","43.60","38.20","259","41.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","Social Studies","Students without Disabilities","14","25","22","23.00","41.00","36.10","61","45.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","08","Social Studies","Students without Disabilities","14","25","22","23.00","41.00","36.10","61","45.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","04","Mathematics","Students without Disabilities","< 10","16","27","15.70","31.40","52.90","51","36.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","08","Social Studies","Students with Disabilities","< 10","< 10","< 10","< 5","57.10","42.90","14","32.60"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","05","Mathematics","Students without Disabilities","10","19","22","19.60","37.30","43.10","51","41.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","04","English Language Arts","Students without Disabilities","14","16","21","27.50","31.40","41.20","51","44.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","05","English Language Arts","Students without Disabilities","20","19","12","39.20","37.30","23.50","51","58.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","English Language Arts","Students without Disabilities","110","160","119","28.30","41.10","30.60","389","49.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","06","English Language Arts","Students without Disabilities","26","42","37","24.80","40.00","35.20","105","46.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","07","English Language Arts","Students without Disabilities","29","49","27","27.60","46.70","25.70","105","51.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","08","English Language Arts","Students without Disabilities","21","34","22","27.30","44.20","28.60","77","49.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","08","Mathematics","Students without Disabilities","34","25","16","45.30","33.30","21.30","75","58.60"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","07","Mathematics","Students without Disabilities","54","37","16","50.50","34.60","15.00","107","63.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","06","Mathematics","Students without Disabilities","45","37","23","42.90","35.20","21.90","105","57.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","Mathematics","Students without Disabilities","151","134","104","38.80","34.40","26.70","389","54.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","07","Mathematics","Students with Disabilities","< 10","< 10","< 10","27.30","36.40","36.40","11","45.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","06","Mathematics","Students with Disabilities","< 10","< 10","< 10","22.20","38.90","38.90","18","44.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","Mathematics","Students with Disabilities","15","20","21","26.80","35.70","37.50","56","46.60"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","05","Mathematics","Students with Disabilities","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","04","Mathematics","Students with Disabilities","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","08","Mathematics","Students with Disabilities","< 10","< 10","< 10","27.80","38.90","33.30","18","47.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","Science","Students with Disabilities","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","07","Science","Students with Disabilities","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","Social Studies","Students with Disabilities","< 10","< 10","< 10","< 5","57.10","42.90","14","32.60"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","04","English Language Arts","Students with Disabilities","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","05","English Language Arts","Students with Disabilities","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","English Language Arts","Students with Disabilities","10","28","18","17.90","50.00","32.10","56","46.60"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","06","English Language Arts","Students with Disabilities","< 10","12","< 10","16.70","66.70","16.70","18","53.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","07","English Language Arts","Students with Disabilities","< 10","< 10","< 10","27.30","54.50","18.20","11","53.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","08","English Language Arts","Students with Disabilities","< 10","< 10","< 10","5.60","44.40","50.00","18","35.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","English Language Arts","All Students","120","188","137","27.00","42.20","30.80","445","49.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","English Language Arts","Economically Disadvantaged","110","166","127","27.30","41.20","31.50","403","49.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","English Language Arts","Not Economically Disadvantaged","10","22","10","23.80","52.40","23.80","42","48.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","English Language Arts","Black, not of Hispanic origin","23","30","24","29.90","39.00","31.20","77","49.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","English Language Arts","Hispanic","83","141","96","25.90","44.10","30.00","320","49.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","English Language Arts","White, not of Hispanic origin","13","15","14","31.00","35.70","33.30","42","49.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","English Language Arts","Two or More Races","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","English Language Arts","Male","49","99","72","22.30","45.00","32.70","220","47.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","English Language Arts","Female","71","89","65","31.60","39.60","28.90","225","51.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","English Language Arts","English Learners","70","119","83","25.70","43.80","30.50","272","49.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","English Language Arts","Not English Learners","50","69","54","28.90","39.90","31.20","173","49.60"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","All Grades","English Language Arts","Not Migrant","120","188","137","27.00","42.20","30.80","445","49.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","06","English Language Arts","All Students","29","54","40","23.60","43.90","32.50","123","47.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","06","English Language Arts","Economically Disadvantaged","28","49","40","23.90","41.90","34.20","117","47.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","06","English Language Arts","Not Economically Disadvantaged","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","06","English Language Arts","Black, not of Hispanic origin","< 10","< 10","< 10","25.00","40.00","35.00","20","50.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","06","English Language Arts","Hispanic","21","40","28","23.60","44.90","31.50","89","47.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","06","English Language Arts","White, not of Hispanic origin","< 10","< 10","< 10","25.00","41.70","33.30","12","49.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","06","English Language Arts","Two or More Races","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","06","English Language Arts","Male","11","28","23","17.70","45.20","37.10","62","44.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","06","English Language Arts","Female","18","26","17","29.50","42.60","27.90","61","51.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","06","English Language Arts","English Learners","20","35","26","24.70","43.20","32.10","81","47.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","Earhart Elementary-Middle School",860,"LEA School","06","English Language Arts","Not English Learners","< 10","19","14","21.40","45.20","33.30","42","47.50"
